epoch,train_rmse,val_rmse
0,0.039011625420921785,0.039267077113940736
1,0.038976085757077575,0.0384769937997256
2,0.039046933674743795,0.03829254307889282
3,0.03895725823784203,0.03804103064469011
4,0.03894736944533664,0.03854177409802447
5,0.03890308751033226,0.03825290632476336
6,0.03893932893386088,0.0382891339971384
7,0.03889549620788144,0.03867324286771069
8,0.03892136656250973,0.038160931189677595
9,0.03897775659284544,0.038067800203707446
10,0.038028943290315746,0.03731249653027019
11,0.037847229579853904,0.037656109129823936
12,0.03785487928549509,0.03741618707730124
13,0.03778822683145477,0.037454293728514436
14,0.03781887017620421,0.03730422735898383
15,0.037815687625173997,0.03763821266841985
16,0.037768902920958046,0.03729001698887287
17,0.037761295356151754,0.03729903922367859
18,0.03781099134141096,0.03734928040456839
19,0.0378274201280739,0.03782408033258812
20,0.03782009002689024,0.037470456395001864
21,0.03783410698388048,0.03767080970394897
22,0.03779123173072428,0.03745944814728214
23,0.03714580806667717,0.03694001933168094
24,0.037031562162887825,0.03707199001154876
25,0.03708680001216894,0.03696760503587226
26,0.037052899612060264,0.03684353938715262
27,0.0370354985267025,0.037194096562897974
28,0.036968838293730245,0.03726964232891066
29,0.037073816444750995,0.03692837297177092
30,0.03705874519734919,0.037176327463837346
31,0.03700458824349265,0.036944823840852355
32,0.03701809910924656,0.03685264928424028
33,0.036642630755086426,0.03670951586795831
34,0.036576935255136334,0.03668607660265709
35,0.03661414956116483,0.0366140280321634
36,0.03660917123835836,0.036767874875696716
37,0.036589759689918754,0.03674109551937174
38,0.03653551776116178,0.036659713252543975
39,0.036564778037376185,0.03663812161980095
40,0.036565816533165055,0.03657507458526378
41,0.03649405431843354,0.03675242281769014
42,0.03652520661323027,0.03662482849436043
43,0.036549221098973836,0.03666711590559272
44,0.036540869399271675,0.03664800703613521
45,0.03652844397817005,0.03660062938772605
46,0.03650341217280883,0.03665681162617605
47,0.036344278906025144,0.03662339015404039
48,0.036285066262754136,0.036578891118280714
49,0.036266864778862526,0.036521011323721896
50,0.036308631035719116,0.03657112334364627
51,0.036226101078531546,0.03650256078367802
52,0.036290343129597516,0.036595007622322456
53,0.0363004783829299,0.03646191095787097
54,0.036287416811773526,0.03666189556808892
55,0.03623934880642814,0.036628264968322465
56,0.03627294239691072,0.03658946888937269
57,0.03623986086655325,0.036533102695311716
58,0.036220525199153274,0.03646505700815385
59,0.03627547573291889,0.036493333809926004
60,0.03613896054906772,0.03641420781382566
61,0.03612555883101346,0.03637127181154091
62,0.03609937896046006,0.03636288368090635
63,0.03606430148586395,0.03644572876950163
64,0.036098767718210314,0.03643366256467624
65,0.03611187683649825,0.03653004744946103
66,0.036129900558713256,0.03645922528741034
67,0.03610125164480205,0.03643614359238527
68,0.036153843433387574,0.0364450498784465
69,0.036066331127295306,0.03643903212853593
70,0.036026730718149144,0.03651491937058009
71,0.036037314737598886,0.036460986720618
72,0.03602081271853629,0.03642127118429419
73,0.036013777035969835,0.03648497080149215
74,0.036017837298821014,0.03646245662370028
75,0.03599271764254327,0.03638477420223921
76,0.03597181042542406,0.03644360815821903
77,0.03601233395275725,0.0364874824631402
78,0.035933126963525394,0.03645616087338748
79,0.03602224404296797,0.03639217124318327
80,0.03596700184012022,0.03639597555950361
81,0.03591998171680223,0.03646687562892825
82,0.03597061860978745,0.03644523370414881
